id,user,uid,version,changeset,timestamp
268512234,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:02Z
268512238,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:03Z
268512242,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:03Z
268512246,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:03Z
268512250,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:04Z
268512254,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:04Z
268512258,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:04Z
268512262,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:05Z
268512266,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:06Z
268512270,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:06Z
268512274,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:06Z
268512278,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:07Z
268512282,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:07Z
268512286,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:08Z
268512291,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:08Z
268512295,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:09Z
268512299,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:09Z
268512303,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:10Z
268512307,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:11Z
268512311,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:11Z
268512315,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:11Z
268512319,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:12Z
268512323,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:12Z
268512327,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:12Z
268512331,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:12Z
268512335,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:13Z
268512339,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:13Z
268512343,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:13Z
268512347,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:14Z
268512351,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:14Z
268512355,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:14Z
268512360,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:14Z
268512364,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:15Z
268512368,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:15Z
268512372,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:15Z
